id,classDate,name,class,grade,email
1,2013-12-02,Johnny,Math,85,johhny@school.edu
2,2013-12-03,Johnny,English,45,johnny@school.edu
3,2013-12-04,Johnny,Science,72,johnny@school.edu
4,2013-12-05,Johnny,History,91,johnny@school.edu
5,2013-12-06,Johnny,Spanish,77,johnny@school.edu
6,2013-12-07,James,Math,99,james@school.edu
7,2013-12-08,James,English,87,james@school.edu
8,2013-12-09,James,Science,73,james@school.edu
9,2013-12-10,James,History,80,james@school.edu
10,2013-12-11,James,Spanish,90,james@school.edu
11,2013-12-12,Joseph,Math,25,joseph@school.edu
12,2013-12-13,Joseph,English,47,joseph@school.edu
13,2013-12-14,Joseph,Science,33,joseph@school.edu
14,2013-12-15,Joseph,History,62,joseph@school.edu
15,2013-12-16,Joseph,Spanish,54,joseph@school.edu
